word,sentence_id,lexical_n_letters,grammatical_gender,grammatical_number,grammatical_pos,grammatical_tense,grammatical_person,sequential_posit_from_start,sentential_question,structural_depth_in_tree
men,368,1,m,pl,N,,3.0,1,True,1.0
vanish,368,2,,pl,N,pres,,2,True,0.0
?,368,1,,,.,,,3,True,1.0
which,369,2,,,W,,3.0,0,True,1.0
men,369,1,m,pl,N,,3.0,1,True,1.0
fell,369,2,,,V,past,,2,True,0.0
?,369,1,,,.,,,3,True,1.0
which,370,2,,,W,,3.0,0,True,1.0
men,370,1,m,pl,N,,3.0,1,True,1.0
disappeared,370,3,,,V,past,,2,True,0.0
?,370,1,,,.,,,3,True,1.0
which,371,2,,,W,,3.0,0,True,1.0
men,371,1,m,pl,N,,3.0,1,True,1.0
vanished,371,3,,,N,past,,2,True,0.0
?,371,1,,,.,,,3,True,1.0
which,372,2,,,W,,3.0,0,True,2.0
book,372,2,,sg,N,,3.0,1,True,1.0
falls,372,2,,sg,N,pres,3.0,2,True,0.0
?,372,1,,,.,,,3,True,1.0
which,373,2,,,W,,3.0,0,True,2.0
book,373,2,,sg,N,,3.0,1,True,1.0
disappears,373,3,,sg,N,pres,3.0,2,True,0.0
?,373,1,,,.,,,3,True,1.0
which,374,2,,,W,,3.0,0,True,1.0
book,374,2,,sg,N,,3.0,1,True,1.0
vanishes,374,3,,sg,N,pres,3.0,2,True,0.0
?,374,1,,,.,,,3,True,1.0
which,375,2,,,W,,3.0,0,True,2.0
book,375,2,,sg,N,,3.0,1,True,1.0
fell,375,2,,,V,past,,2,True,0.0
?,375,1,,,.,,,3,True,1.0
which,376,2,,,W,,3.0,0,True,2.0
book,376,2,,sg,N,,3.0,1,True,1.0
disappeared,376,3,,,V,past,,2,True,0.0
?,376,1,,,.,,,3,True,1.0
which,377,2,,,W,,3.0,0,True,2.0
book,377,2,,sg,N,,3.0,1,True,1.0
vanished,377,3,,,N,past,,2,True,0.0
?,377,1,,,.,,,3,True,1.0
which,378,2,,,W,,3.0,0,True,2.0
books,378,2,,pl,N,,3.0,1,True,1.0
fall,378,2,,pl,N,pres,,2,True,0.0
?,378,1,,,.,,,3,True,1.0
which,379,2,,,W,,3.0,0,True,2.0
books,379,2,,pl,N,,3.0,1,True,1.0
disappear,379,3,,pl,N,pres,,2,True,0.0
?,379,1,,,.,,,3,True,1.0
which,380,2,,,W,,3.0,0,True,2.0
books,380,2,,pl,N,,3.0,1,True,1.0
vanish,380,2,,pl,N,pres,,2,True,0.0
?,380,1,,,.,,,3,True,1.0
which,381,2,,,W,,3.0,0,True,2.0
books,381,2,,pl,N,,3.0,1,True,1.0
fell,381,2,,,V,past,,2,True,0.0
?,381,1,,,.,,,3,True,1.0
which,382,2,,,W,,3.0,0,True,2.0
books,382,2,,pl,N,,3.0,1,True,1.0
disappeared,382,3,,,V,past,,2,True,0.0
?,382,1,,,.,,,3,True,1.0
which,383,2,,,W,,3.0,0,True,2.0
books,383,2,,pl,N,,3.0,1,True,1.0
vanished,383,3,,,N,past,,2,True,0.0
?,383,1,,,.,,,3,True,1.0
